,제목,가사,가수,발매일,좋아요수,장르
139,男子의 人生 (남자의 인생),"어둑어둑 해질 무렵
집으로 가는 길에
빌딩사이 지는 노을
가슴을 짜안하게 하네
광화문 사거리서 봉천동까지
전철 두 번 갈아타고
지친 하루 눈은 감고 귀는 반 뜨고
졸면서 집에 간다
아버지란 그 이름은
그 이름은 男子의 人生
그냥저냥 사는 것이
똑같은 하루하루
출근하고 퇴근하고
그리고 캔 맥주 한잔
홍대에서 버스타고 쌍문동까지
서른아홉 정거장
운 좋으면 앉아가고 아니면 서고
지쳐서 집에 간다
남편이란 그 이름은
그 이름은 男子의 人生
그 이름은 男子의 人生",나훈아,2017.07.17,"6,151",성인가요/트로트
140,무심 세월,"무심한 세월아
냉정한 세월아
너는 어찌 그리도 빠르니
너 따라 가려니
이젠 힘이 들구나
우리 잠시 쉬었다가자
얄궂은 세월아
변덕쟁이 세월아
나 어릴 땐 그리도 늦더니
숨 가쁜 한 세상
앞만 보고 왔는데
어서 따라 오라는 세월
나는 쉬엄쉬엄 쉬며 갈 테다
허리 한번 쭉 펴고
좋은 사람들과 놀다 갈 테니
제발 나 좀 두고 가거라
함께 온 세월아
오랜 친구 세월아
우리 잠시 헤어졌다가
이 다음 천천히
만났으면 좋겠다
너 혼자만 먼저 가거라
나는 쉬엄쉬엄 쉬며 갈 테다
허리 한번 쭉 펴고
좋은 사람들과 놀다 갈 테니
제발 나 좀 두고 가거라
함께 온 세월아
오랜 친구 세월아
우리 잠시 헤어졌다가
이 다음 천천히
만났으면 좋겠다
너 혼자만 먼저 가거라
너 혼자만 먼저 가거라",민수현,2022.12.28,375,성인가요/트로트
141,고맙고 미안한 내사람,"고맙고 미안한 내 사람
고맙고 미안한 내 사람
긴 세월 불안한 내 곁에서
나를 믿어준
그댈 위해 나는 노래 부르리
사랑한다는 그 말 미안하다는 그 말
따뜻한 한마디 못해준 못난 사람
약속할게요 그대 내 남은 모든 시간
그댈 위해 모두 쓰겠소
고맙고 미안한 내 사람
고맙고 미안한 내 사람
고운 그대 두 눈가에
항상 눈물만 남겨준
이런 나를 용서할 수 있나요
사랑한다는 그 말 미안하다는 그 말
따뜻한 한마디 못해준 못난 사람
약속할게요 그대 내 남은 모든 시간
그댈 위해 모두 쓰겠소
살다가 너무 힘이 들 때면
내 어깨에 기대 편히 쉬기를
행복하기를 그대 울지 말기를 이제
그댄 누구보다 행복해야 될 사람
내가 그대를 만나 사랑한 모든 날들
기적 같은 행운이었소
고맙고 미안한 내 사람",장민호,2022.01.06,"4,185",성인가요/트로트
142,인연,"이제는 두 번 다시
사랑 때문에 울지 않으리
이제는 두 번 다시
나는 너를 보내지 않으리
사랑 때문에
괴로웠던 지난 날들은
이제는
이제는
모두 끝이야
수많은 사람 만나 만나서
내 모든 걸 다 주어봐도
때가 되면 떠나버리는
무정한 사람이더라
인연이라는 것은
때가 되어야만 만나지는 것
지난 날을 괴로워 말자
언젠간 너도 괴로울 테니까
때가 되면 떠나버리는
무정한 사람이더라
지난 날은 괴로워 말자
언젠간 너도 괴로울 테니까",김용필,2023.02.10,108,성인가요/트로트
143,사랑 너였니,"어느 날 내게 왔어 소나기처럼 왔어
그리고는 내 가슴 적셨어
갑자기 내게 왔어 한줄기 별빛 되어
그리고는 내 가슴 뛰게 했어
어린아이처럼 설레는 이 마음
도대체 나 지금 왜 이러는 걸까
사랑 너였니 내 가슴 뛰게 만든게
사랑 너였니 나 눈물 나게 하는게
빗물보다 별빛보다 나를 흠뻑 적신게
사랑 너였니 나의 참 사랑아
어린아이처럼 설레는 이 마음
도대체 나 지금 왜 이러는 걸까
사랑 너였니 내 가슴 뛰게 만든게
사랑 너였니 나 눈물 나게 하는게
빗물보다 별빛보다 나를 흠뻑 적신게
사랑 너였니 나의 참 사랑아
사랑 너였니 내 가슴 뛰게 만든게
사랑 너였니 나 눈물 나게 하는게
빗물보다 별빛보다 나를 흠뻑 적신게
사랑 너였니 나의 참 사랑아",장민호,2022.11.08,"3,648",성인가요/트로트
144,꿈,"화려한 도시를
그리며 찾아왔네
그 곳은 춥고도 험한곳
여기저기 헤매다
초라한 문턱에서
뜨거운 눈물을 먹는다
머나먼 길을 찾아 여기에
꿈을 찾아 여기에
괴롭고도 험한 이 길을 왔는데
이 세상 어디가 숲인지
어디가 늪인지
그 누구도 말을 않네
사람들은 저마다
고향을 찾아가네
나는 지금 홀로 남아서
빌딩속을 헤매다
초라한 골목에서
뜨거운 눈물을 먹는다
저기 저 별은 나의 마음 알까
나의 꿈을 알까
괴로울 땐 슬픈 노래를 부른다
슬퍼질 땐 차라리 나홀로
눈을 감고 싶어
고향의 향기 들으면서
저기 저 별은 나의 마음 알까
나의 꿈을 알까
괴로울 땐 슬픈 노래를 부른다
이 세상 어디가 숲인지
어디가 늪인지
그 누구도 말을 않네
슬퍼질 땐 차라리 나홀로
눈을 감고 싶어
고향의 향기 들으면서
고향의 향기 들으면서",조용필,1991,"11,141",성인가요/트로트
145,별빛 같은 나의 사랑아,"당신이 얼마나 내게 소중한 사람인지
세월이 흐르고 보니
이제 알 것 같아요
당신이 얼마나 내게 필요한 사람인지
세월이 지나고 보니
이제 알 것 같아요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
왜 이리 눈물이 나요",임영웅,2021.09.21,"15,112",성인가요/트로트
146,남자라는 이유로,"누구나 웃으면서 세상을 살면서도
말못할 사연 숨기고 살아도
나역시 그런저런 슬픔을 간직하고
당신앞에 멍하니 서있네
언제한번 가슴을 열고 소리내어
소리내어 울어 볼 날이
남자라는 이유로 묻어두고 지낸
그 세월이 너무 길었어

저마다 처음인듯 사랑을 하면서도
쓰라린 이별 숨기고 있어도
당신도 그런저런 과거가 있겠지만
내앞에선 미소를 짓네
언제한번 가슴을 열고 소리내어
소리내어 울어 볼 날이
남자라는 이유로 묻어두고 지낸
그 세월이 너무 길었어

언제한번 그런날 올까요 가슴을 열고
소리내어 울어 울어 볼 날이
남자라는 이유로 묻어두고 지낸
그 세월이 너무 길어요",조항조,1997.03,"4,447",성인가요/트로트
147,한 많은 대동강,"한많은 대동강아
변함없이 잘있느냐
모란봉아 을밀대야
네 모양이 그립구나
철조망이 가로막혀
다시만날 그때까지
아 소식을 물어본다
한많은 대동강아
대동강 부벽루야
변함없이 잘있느냐
귀에익은 수심가를
다시 한 번 불러본다
편지 한 장 전할길이
이다지도 없을소냐
아 썼다가 찢어버린
한많은 대동강아",송가인,2019.04.05,"12,986",성인가요/트로트
148,무뚝뚝,"이별한 남자에게 묻지마라
떠나는 남자에게 묻지마라
여자는 울고 남자는 무뚝뚝
뭐가 그리 냉정하냐고
남자 남자 남자 이별은
가슴으로 우는겁니다
여자 여자 여자 마음에
미련이 남겨질까봐
무뚝뚝 무뚝뚝 뒤돌아서 뚝뚝뚝
뜨거운 내가슴을 속여가며
차가운 바람되어 떠나간다
돌아선 걸음 걸음걸음마다
옛정이 터져버린다
남자 남자 남자 이별은
가슴으로 우는겁니다
여자 여자 여자 마음에
미련이 남겨질까봐
무뚝뚝 무뚝뚝 뒤돌아서 뚝뚝뚝
비가 내리네 비가 비가 내리네
바람이 부네 바람 바람이 부네
차가운 이별의 선명한 엔딩이
점점더 가까워지네
남자 남자 남자 이별은
가슴으로 우는겁니다
여자 여자 여자 마음에
미련이 남겨질까봐
무뚝뚝 무뚝뚝 뒤돌아서 뚝뚝뚝
뒤돌아서 뚝뚝뚝",장민호,2022.01.06,"3,415",성인가요/트로트
149,먼 훗날,"찬바람 슬슬 불어오면
여린 목소리로 날 부르던
너의 모습이 스쳐간다
안부를 내게 묻는 듯
먼 훗날 오랜 훗날
우리 다시 만날 그날에
서로의 어깨를
한 번씩 툭 두드려줄까
같은 꿈 같은 곳을
함께 꿈꾸며 바라보던
추억 그리워하며 My friend
My friend
내게 바라는 것도 없이
그저 내 미소만을 원하고
세상에서 제일 친했던
친구는 너 하나인 걸
먼 훗날 오랜 훗날
우리 다시 만날 그날에
서로의 어깨를
한 번씩 툭 두드려줄까
같은 꿈 같은 곳을
함께 꿈꾸며 바라보던
추억 그리워하며 My friend
언제나 나를 지켜주는 듯
너의 온기를 난 느낄 수 있어
먼 훗날 오랜 훗날
우리 다시 만날 그날엔
마치 어제 만난 것처럼
편하게 웃을까
세월이 흘러가도
우리 서로의 믿음만은
변하지 않을 테니 My friend
My friend",정동원,2021.11.17,"5,947",성인가요/트로트
150,Change (체인지),"너를 만난 그날부터 모든 것이 달라졌어
이 세상 모든 것이 달라져 버렸어
너를 만난 순간부터 모든 것이 변했어
나의 모든 것이 바뀌어버렸어
Change Change Change
Change Change Change
이 세상이 달라진 건 1도 없는데
썸타는 내 마음이 달라져 버렸어
싫은 것도 좋아지고 미운 것도 예뻐지고
메마른 내 가슴에 사랑꽃이 피었네
Change Change 네가 있어 너무 좋아
Change Change 네가 있어 찐 좋아
너를 만난 그날부터 모든 것이 아름다워
사랑하는 바로 네가 곁에 있기 때문이야
Change Change Change
Change Change Change
이 세상이 달라진 건 1도 없는데
썸타는 내 마음이 달라져 버렸어
싫은 것도 좋아지고 미운 것도 예뻐지고
메마른 내 가슴에 사랑꽃이 피었네
Change Change 네가 있어 너무 좋아
Change Change 네가 있어 찐 좋아
너를 만난 그날부터 모든 것이 아름다워
사랑하는 바로 네가 곁에 있기 때문이야
Change Change Change
Change Change Change",나훈아,2022.02.22,931,성인가요/트로트
151,고향으로 가는 배,"고향으로 가는 배
꿈을 실은 작은 배
정을 잃은 사람아 고향으로 갑시다
산과 산이 마주서 소근 대는 남촌에
아침햇살 다정히 풀잎마다 반기는
고향으로 가는 배
꿈을 실은 작은 배
정을 잃은 사람아 고향으로 갑시다
산비둘기 쌍쌍이 짝을 찾는 남촌에
피리 부는 목동의 옛 노래가 그리운
고향으로 가는 배
꿈을 실은 작은 배
정을 잃은 사람아
고향으로 갑시다",송민준,2022.12.23,448,성인가요/트로트
152,사랑이 이런건가요,"사랑이 이런 건가요
가슴이 떨려오네요
나 그대 생각하면은
자꾸만 가슴이 뛰네요
어쩌다 이렇게 멋진
그대를 만나게 됐는지
아무리 생각해도 난
행운의 남자인가 봐
난 이제 하루하루가
그대 있어 너무 행복해
그 깊은 사랑에 빠져
도대체 헤어 나올 수가 없어
사랑이 이런 건가요
가슴이 떨려오네요
나 그대 생각하면은
자꾸만 가슴이 뛰네요
난 이제 하루하루가
그대 있어 너무 행복해
그 깊은 사랑에 빠져
도대체 헤어 나올 수가 없어
사랑이 이런 건가요
가슴이 떨려오네요
나 그대 생각하면은
자꾸만 가슴이 뛰네요
나 그대 생각하면은
자꾸만 가슴이 뛰네요",에녹,2022.12.21,499,성인가요/트로트
153,둥지,"너 빈자리 채워 주고 싶어
내 인생을 전부 주고 싶어
이제는 너를 내 곁에다 앉히고
언제까지나 사랑 할까봐

우리 더 이상 방황하지마
한눈 팔지마 여기 둥지를 틀어

지난날의 아픔은 잊어버려
스쳐 지나가는 바람처럼
이제 너는 혼자가 아니잖아
사랑하는 나 있잖아

너는 그냥 가만히 있어 다 내가 해 줄게
현실일까 꿈일까 사실일까 아닐까
헷갈리고 서 있지마 우 -

사랑이 뭔지 그동안 몰랐지
내 품에 둥지를 틀어봐

너 빈자리 채워 주고 싶어
내 인생을 전부 주고 싶어
이제는 너를 내 곁에다 앉히고
언제까지나 사랑 할까봐

우리 더 이상 방황하지마
한눈 팔지마 여기 둥지를 틀어

지난날의 아픔은 잊어버려
스쳐 지나가는 바람처럼
이제 너는 혼자가 아니잖아
사랑하는 나 있잖아

너는 그냥 가만히 있어 다 내가 해 줄게
현실일까 꿈일까 사실일까 아닐까
헷갈리고 서 있지마 우 -

사랑이 뭔지 그동안 몰랐지
내 품에 둥지를 틀어봐

내 품에 둥지를 틀어봐 -",남진,2000.02.21,"8,540",성인가요/트로트
154,가슴은 알죠,"우리 이제 정말 끝인가요 정말
그대와 나 우리 서로 남이 되나요
되돌릴 순 없죠 그럴 수는 없는 거죠
무너지는 나의 가슴이
이별이 맞다 하네요
그대는 괜찮은가 봐요
이대로도 괜찮은가요
그대의 두 눈에 비친 내 모습
눈물로 젖어 드는데
사랑이 이토록 아픈데도 그댈 찾아요
이 아픔 조차 그대를
모질게 떠난 그댈 잊었다해도
가슴은 기다립니다
그대는 괜찮은가 봐요
이대로도 괜찮은가요
그대의 두 눈에 비친 내 모습
눈물로 젖어 드는데
사랑이 이토록 아픈데도 그댈 찾아요
이 아픔 조차 그대를
모질게 떠난 그댈 잊었다 해도
가슴은 기다립니다
사랑이 이토록 아픈데도 그댈 찾아요
이 아픔 조차 그대를
모질게 떠난 그댈 잊었다 해도
가슴은 기다립니다
가슴은 기다립니다",임영웅,2021.09.14,"15,609",성인가요/트로트
155,소녀여,"못다 피운 봉선화여
꽃 피기 전에 울지 마오
눈물을 흘리기엔 어여쁜 눈을
바라보는 내가 여기 있지 않소
꿈꾸는 소녀여 소란한 인생
님이 계신 곳에 쉬어가듯
그 많은 꿈들을 이루며
나와 벗 삼아 가시오
여린 소녀여 굽이진 인생
한 오백 년을 살아도
늘 곁에 있어 줄
내 삶 속 그대의 어깨에
편히 기대겠소
비바람에 젖지 않고
피는 꽃들이 어디 있겠소
천천히 걷다 보면 지친 하루를
반겨주는 소녀 여기 있지 않소
꿈꾸는 소녀여 소란한 인생
한 오백 년을 살아도
늘 곁에 있어 줄
내 삶 속 가득한 소녀여
가는 세월 또 어떠하리
가진 게 없다 해도 어떠하리
낯선 이 세상 속에
서로 믿을 수 있는 내 사람아
꿈꾸는 소녀여 소란한 인생
님이 계신 곳에 쉬어가듯
그 많은 꿈들을 이루며
나와 벗 삼아 가시오
여린 소녀여 굽이진 인생
한 오백 년을 살아도
늘 곁에 있어 줄
내 삶 속 그대의 어깨에
편히 기대겠소",정동원,2021.11.17,"5,685",성인가요/트로트
156,누나가 딱이야,"남자답게 책임질게
내겐 딱 딱 누나가 딱이야
풋내 나는 풋사과보다
새빨간 사과가 더 좋아
지독한 사랑에 아파본
누나라서 난 좋아
어디까지 헤메이다가
얼마만큼 울다 왔는지
과건 묻지 않을 테니까
내 품에 편히 쉬어
누나가 딱이야
내 품에 딱이야
오늘부터 우린 자기야
남자답게 책임질게
나만 믿고 따라와
누나가 딱이야
내 눈에 딱이야
오늘부터 우린 짝이야
못 이긴 척 안겨줄래
내겐 딱 딱
누나가 딱이야
내겐 딱 딱
넌 내가 딱이야",황민호,2023.02.10,136,성인가요/트로트
157,가인이어라,"가인 가인이어라
운명 같은 사람이어라
보고 또 보고 싶은 가인이어라
정도 많은 사람이어라
어느 한 날 똑같은 시간에 만나
서로에게 끌려버린 맘
좋아 좋아한다면 죄라도 되나요
이제 나는 어쩔 수 없네
아 영원히 안고 싶어라
시간아 멈추어라
가인 가인이어라
필연적인 사람이어라
보고 또 보고 싶은 가인이어라
내인생의 귀인이어라
사랑해요 그 말을 하고 싶나요
내 마음도 그렇답니다
애간장을 녹이는 다정한 목소리
누가 내게 보내셨나요
아 영원히 닮고 싶어라
세월아 멈추어라
가인 가인이어라
운명 같은 사람이어라
보고 또 보고 싶은 사람이어라
내인생의 귀인이어라
가인이어라 가인이어라
가인 가인이어라
가인 가인 가인이어라",송가인,2019.11.04,"12,469",성인가요/트로트
158,외로운 술잔,"그대가 내게 남긴 건
차디찬 술잔과 눈물
이대로 아무말 없이
아픔을 갖자
누구도 채울 수 없는
마음의 빈 잔과 같이
허공을 맴돌고 있네
사랑을 비워둔 채로
너는 내게 말했지
샘물이 되어달라고
너는 작은 돌이 되어
영원히 잠겨 있겠다고
그러나 덧없는 사랑
이별의 아쉬움만이
씁쓸한 술잔에 담겨
나를 울게 하네요
너는 내게 말했지
샘물이 되어달라고
너는 작은 돌이 되어
영원히 잠겨 있겠다고
그러나 덧없는 사랑
이별의 아쉬움만이
씁쓸한 술잔에 담겨
나를 울게 하네요
나를 울게 하네요",성빈 (최윤하),2023.01.18,296,성인가요/트로트
159,백만송이 장미,"먼엣날 어느별에서 내다시 세상에 나올때
사랑을 주고 오라는 작은 음성 하나 들었지
사랑할때만 피는꽃 백만송이 피어 보래는
진실한 사랑할때만 피어나는 사랑의 장미

미워하는 미워하는 미워하는 마음없이
아낌없이 아낌없이 사랑을 주기만 할때
수백만송이 백만송이 백만송이 꽃은 피고
그립고 아름다운 내별나라로 갈수 있다네

진실한 사랑은 뭔가 괴로운 눈물 흘렸네
헤어져간사람 많았던 너무나 슬픈 세상 이었기에
수많은 세월 흐른뒤 자기의 생명까지 모두다준
비처럼 홀연이 나타난 그런 사랑 나는 알았네

미워하는 미워하는 미워하는 마음없이
아낌없이 아낌없이 사랑을 주기만 할때
수백만송이 백만송이 백만송이 꽃은 피고
그립고 아름다운 내별나라로 갈수 있다네

이제는 모두가 떠날지라도 그러나 사랑은 계속 될거야
저별에서 나를 찾아온 그토록 기다리던 이인데
그대와 나함께 하면 더욱더 많은 꽃을 피우고
하나가 되는 우리는 영원한 저별로 돌아가리라

미워하는 미워하는 미워하는 마음없이
아낌없이 아낌없이 사랑을 주기만 할때
수백만송이 백만송이 백만송이 꽃은 피고
그립고 아름다운 내별나라로 갈수 있다네",심수봉,1997.02.01,"9,196",성인가요/트로트
160,미운 사랑,"남몰래 기다리다가
가슴만 태우는 사랑
어제는 기다림에
오늘은 외로움
그리움에 적셔진 긴 세월
이렇게 살라고 인연을 맺었나
차라리 저 멀리 둘 걸
미워졌다고 갈 수 있나요
행여나 찾아 올까봐
가슴이 사랑을 잊지 못해
이별로 끝난다해도
그 끈을 놓을 순 없어
너와 난 운명인 거야
이렇게 살라고 인연을 맺었나
차라리 저 멀리 둘 걸
미워졌다고 갈 수 있나요
행여나 찾아 올까봐
가슴이 사랑을 잊지 못해
이별로 끝난다해도
그 끈을 놓을 순 없어
너와 난 운명인 거야
그 끈을 놓을 순 없어
너와 난 운명
운명인 거야",나상도,2023.01.27,198,성인가요/트로트
161,고장난 벽시계,"세월아 너는 어찌
돌아도 보지 않느냐
나를 속인 사람보다
네가 더욱 야속하더라
한 두 번 사랑땜에 울고 났더니
저만큼 가버린 세월
고장 난 벽시계는 멈추었는데
저 세월은 고장도 없네
청춘아 너는 어찌
모른 척하고 있느냐
나를 버린 사람 보다
네가 더욱 무정하더라
뜬구름 쫓아가다 돌아봤더니
어느새 흘러간 청춘
고장 난 벽시계는 멈추었는데
저 세월은 고장도 없네
고장 난 벽시계는 멈추었는데
저 세월은 고장도 없네",박민수,2023.01.25,282,성인가요/트로트
162,비나리,"큐피트 화살이 가슴을 뚫고
사랑이 시작된 날
또 다시 운명의 페이지는 넘어가네
나 당신 사랑해도 될까요 말도 못하고
한없이 애타는 나의 눈짓들
세상이 온통 그대 하나로 변해 버렸어
우리 사랑 연습도 없이
벌써 무대로 올려졌네
생각하면 덧없는 꿈일지도 몰라
꿈일지도 몰라
하늘이여 저 사람 언제
또 갈라놓을거요
하늘이여 간절한 이 소망
또 외면할거요
예기치 못했던 운명의 그 시간
당신을 만나던 날
드러난 내 상처 어느새 싸매졌네
나만을 사랑하면 안될까요
마음만 달아 올라
오늘도 애타는 나의 몸짓들
따사로운 그대 눈빛 따라 도는
해바라기처럼
사랑이란 작은 배 하나
이미 바다로 띄워졌네
생각하면 허무한 꿈일지도 몰라
꿈일지도 몰라
하늘이여 이 사람 다시 또
눈물이면 안돼요
하늘이여 저 사람 영원히
사랑하게 해줘요
사랑하게 해줘요",심수봉,2003.10.22,"5,592",성인가요/트로트
163,잊어야 한다는 마음으로,"잊어야 한다는 마음으로
내 텅 빈 방문을 닫은 채로
아직도 남아 있는 너의 향기
내 텅 빈 방 안에 가득한데
이렇게 홀로 누워 천정을 보니
눈앞에 글썽이는 너의 모습
잊으려 돌아 누운 내 눈가에
말 없이 흐르는 이슬방울들
지나간 시간은 추억 속에
묻히면 그만인 것을
나는 왜 이렇게 긴긴 밤을
또 잊지 못해 새울까
창 틈에 기다리던 새벽이 오면
어제 보다 커진 내 방 안에
하얗게 밝아온 유리창에
썼다 지운다 널 사랑해
지나간 시간은 추억 속에
묻히면 그만인 것을
나는 왜 이렇게 긴긴 밤을
또 잊지 못해 새울까
창 틈에 기다리던 새벽이 오면
어제 보다 커진 내 방 안에
하얗게 밝아온 유리창에
썼다 지운다 널 사랑해",임영웅,2021.05.10,"30,126",성인가요/트로트
164,불나비,"헝클어진 머리 쓸어 올리고
춤을 춰 춤을 춰
바라보는 그대의 눈빛 만이
말을 해 말을 해
사랑하나봐 ah ah ah
그대 그대 그대
떨리는가봐 ah ah ah 그대 때문에
흔들리는 저 불빛 사이로
uh 어느새 나는 불나비
너무 좋아 타는 줄도 모르고
뱅뱅뱅 자꾸 뱅뱅뱅 에에에에에에

외로움은 먼지를 털어내듯이
툭툭 툭툭툭
빨강 파란 노란빛 조명불 아래
유혹해 유혹해
사랑하나봐 ah ah ah
그대 그대 그대
떨리는가봐 ah ah ah 그대 때문에
흔들리는 저 불빛 사이로
uh 어느새 나는 불나비
너무 좋아 타는 줄도 모르고
뱅뱅뱅 자꾸 뱅뱅뱅 에에에에에에
흔들리는 네온빛 속으로
uh 어느새 나는 불나비
이 음악을 멈추지 말아 DJ
이번엔 뜨거운 밤에",장윤정,2010.06.08,"5,854",성인가요/트로트
165,그 겨울의 찻집,"바람 속으로 걸어갔어요
이른 아침의 그 찻집
마른 꽃 걸린 창가에 앉아
외로움을 마셔요
아름다운 죄
사랑 때문에
홀로 지샌 긴 밤이여
뜨거운 이름 가슴에 두면
왜 한숨이 나는 걸까
아 웃고 있어도 눈물이 난다
그대 나의 사랑아
아름다운 죄
사랑 때문에
홀로 지샌 긴 밤이여
뜨거운 이름 가슴에 두면
왜 한숨이 나는 걸까
아 웃고 있어도 눈물이 난다
그대 나의 사랑아
그대 나의 사랑아",손태진,2023.01.11,325,성인가요/트로트
166,희나리,"사랑함에 세심했던 나의 마음이
그렇게도 그대에겐 구속이었소

믿지못해 그런 것이 아니었는데
어쩌다가 헤어지는 이유가 됐소

내게 무슨 마음의 병 있는 것처럼
느낄 만큼 알 수 없는 사람이 되어

그대 외려 나를 점점 믿지 못하고
왠지 나를 그런 쪽에 가깝게 했소

나의 잘못이라면 그대를 위한
내 마음의 전부를 준 것뿐인데

죄인처럼 그대 곁에 가지 못하고
남이 아닌 남이 되어 버린 지금에

기다릴 수밖에 없는 나의 마음은
퇴색하기 싫어하는 희나리 같소

내게 무슨 마음의 병 있는 것처럼
느낄 만큼 알 수 없는 사람이 되어

그대 외려 나를 점점 믿지 못하고
왠지 나를 그런 쪽에 가깝게 했소


나의 잘못이라면 그대를 위한
내 마음의 전부를 준 것뿐인데

죄인처럼 그대 곁에 가지 못하고
남이 아닌 남이 되어 버린 지금에

기다릴 수밖에 없는 나의 마음은
퇴색하기 싫어하는 희나리 같소
퇴색하기 싫어하는 희나리 같소",구창모,1985.06.10,"6,509","발라드, 성인가요/트로트"
167,오라버니,"나의 오라버니
날 사랑 하신다하니
정말 그러시다니
구름타고 빛나는하늘
훨훨 날아갑니다
날 사랑 하신다하니
정말 행복하여서
설레이다 떠는 가슴은
아픈줄도 모른답니다
오라버니 어깨에
기대어 볼래요
커다란 가슴에
얼굴을 묻고
지금 이대로
죽어도 여한 없어요
난 정말여자라서
행복해요
사랑한다 말해주세요
정신을 못차릴거야
오라버니 목소리에
울고 웃어요
내겐 영원한 오라버니
오라버니 어깨에
기대어 볼래요
커다란 가슴에
얼굴을 묻고
지금 이대로
죽어도 여한 없어요
난 정말여자라서
행복해요
사랑한다 말해주세요
정신을 못차릴거야
오라버니 목소리에
울고 웃어요
내겐 영원한 오라버니
내겐 영원한 오라버니
나의 오라버니",금잔디,2012.12.04,"4,567",성인가요/트로트
168,다시 한번만,"너를 보내고 너를 잊으려
아무리 애를 써 봐도
자꾸만 자꾸만 떠오르는
너와 나의 지난 이야기
나쁜 날보다 좋은 날들이
왜 그리도 많고 많은지
눈물이 난다 눈물이 난다
보고 싶어 눈물이 난다
너보다 좋은 사람 만날 수 없어
나 혼자 살지도 몰라
가지 말라고 가지 말라고
매달리고 애원할 것을
그까짓 자존심에 너를 보내고
가슴 치며 후회를 한다
나쁜 날보다 좋은 날들이
왜 그리도 많고 많은지
눈물이 난다 눈물이 난다
보고 싶어 눈물이 난다
네가 내게 다시 한 번 돌아온다면
너를 위해 죽어도 좋아
나쁜 날보다 좋은 날들이
왜 그리도 많고 많은지
눈물이 난다 눈물이 난다
보고 싶어 눈물이 난다
네가 내게 다시 한 번 돌아온다면
너를 위해 죽어도 좋아",에녹,2023.01.18,341,성인가요/트로트
169,정녕,1 당신은 나에게 할말이없나요 아직도나는 할말이많은데 당신의눈엔 한방울눈물이 이별의 진실인가요 사랑은 정녕 무었인가요 가슴하나 태우면 그만인가요 이별은정녕무었인가요 또다른 만남의 시작인가요 돌아서는 그대 마지막눈물에 나는바람되어 웁니다 2당신의 진실은 무었인가요 나에겐오직당신뿐인데 우리가나눈 사랑의 기쁨이 이별을 막을수는 없었나요 사랑은 정녕 무었인가요 가슴하나 태우면 그만인가요 이별은 정녕 무었인가요 또다른 만남의 시작인가요 돌아서는 그대 마지막눈물에 나는 바람되어웁니다,조항조,2010.09.27,875,성인가요/트로트
170,파트너,"일년 삼백 육십 오일동안
우린 멋진 파트너야
파트너
많고 많은 사람 중에 최고
둘도 없는 파트너야
그래 그래 맞아 볼 때마다 미쳐
너무 좋은 파트너야
얼마나 기다리고
기다리고
기다려서
기다려서
우리가 만난거야
첫눈에 딱 보는 그 순간
너는 이미 나의 파트너
그냥 멀리서 바라만 봐도
두근두근 내 가슴은 뛰네
COME ON COME ON
더 이상 어떻게 좋아
일년 삼백 육십 오일동안
우린 멋진 파트너야
파트너
많고 많은 사람 중에 최고
둘도 없는 파트너야
그래 그래 맞아 볼 때마다 미쳐
너무 좋은 파트너야
얼마나 기다리고
기다리고
기다려서
기다려서
우리가 만난거야
첫눈에 딱 보는 그 순간
너는 이미 나의 파트너
그냥 멀리서 바라만 봐도
두근두근 내 가슴은 뛰네
Let's go
Let's go
Let's go
Let's go
더 이상 어떻게 좋아
일년 삼백 육십 오일동안
우린 멋진 파트너야
많고 많은 사람 중에 최고
둘도 없는 파트너야 그대
그래 그래 맞아 볼 때마다 미쳐
너무 좋은 파트너야 그대
그래 그래 맞아 볼 때마다 미쳐
너무 좋은 파트너야 그대
너무 좋은 파트너야 그대
너무 좋은 파트너야 그대",정동원,2020.03.06,"25,308",성인가요/트로트
171,이정표,"맴돌다 가는 사랑처럼
맴돌다 가는 인생처럼
돌고 도는 쳇바퀴처럼 헤매다
이정표 없는 거리만 떠도네
이제는 잊은 거겠죠
나없이 살고 있겠죠
난 너 없이 살 수 없는데
갈 곳을 잃은 새처럼
외로운 마음 달랠 길 없어
쓸쓸한 이 밤 나홀로 외로이
이정표 없는 거리만 떠도네
맴돌다 가는 사랑처럼
맴돌다 가는 인생처럼
돌고 도는 쳇바퀴처럼 헤매다
이정표 없는 거리만 떠도네
이제는 잊은 거겠죠
나없이 살고 있겠죠
난 너 없이 살 수 없는데
갈 곳을 잃은 새처럼
외로운 마음 달랠 길 없어
쓸쓸한 이 밤 나홀로 외로이
이정표 없는 거리만 떠도네
쓸쓸한 이 밤 나홀로 외로이
이정표 없는 거리만 떠도네
이정표 없는 거리만 떠도네",장윤정,2022.04.19,"2,014",성인가요/트로트
